用户名称,评论时间,评论内容
希望能早点睡吧,11月14日 00:53,害怕天气冷，人也是，语气也是
青春的主儿,11月14日 00:50,至今还没取消，时常翻进去看看可能只是想知道你那里热不热冷不冷，这是我对你又爱又恨的证据
一个大嘴巴子给你,11月14日 00:44,不可能事事都如意，学会与自己和解
袁远渊,11月14日 00:35,二柱子写给鸣人的话
雾江泉美,11月14日 00:17,不知是这个季节忽然让人冷的情绪低落.还是原本心里就藏着许多不尽人意的事
自己要早睡啊,11月13日 23:57,那啥，我以前成绩很差，经历和你现在差不多，不过我现在成绩好起来了，那个女孩就忘了吧，我用了1年半的时间去忘记，前途很重要。
好嗎-好的-123,11月13日 23:54,今天二十四岁了，再听这首歌竟另有一番感悟，时间是让人猝不及防的东西，争不过朝夕又念着往昔，
陈黑花,11月13日 23:54,我深爱的那个人，边上站了一个女孩。
七个名字3526,11月13日 23:15,
咿昂羊_,11月13日 23:11,z.
kikiiiyq,11月13日 23:08,今天，他跟我说，他不爱我了。时间留给我们的是什么，是真心。恭喜自己，重新开始
bjyx_忘羡,11月13日 23:07,出来了出来了
若默培风,11月13日 23:05,好乱的关系，他的新娘和你的女朋友？男男？
清初my,11月13日 23:04,www破防了
蘇美1,11月13日 23:00,希望大家珍惜所拥有的.别等弄丢了
七个名字3526,11月13日 22:51,不过，真的出来了吗？
七个名字3526,11月13日 22:50,嘿嘿嘿
biu_哒lhh,11月13日 13:54,想了想已经喜欢她八年了
七个名字3526,11月13日 13:52,@bjyx_忘羡 你把两个手指分别放在这条评论的两边，然后往中间划
wasabi0615,11月13日 13:51,毕业十年了……真想倒回去重来一遍
终失暮色千里,11月13日 13:17,我在湖南省祝纳文轩生日快乐！
少年眼里有银河,11月13日 12:04,遗憾吗 我在也不是为了你偷偷写日记的男孩子了
蔡宇航是大帅哥,11月13日 11:51,"把左手 把右手
大拇指 往这划 大拇指
放这里 放这里"
惠里子-,11月13日 11:33,你在西华大学 我在吉利学院 我在她身上看到了你的影子，或者说遇到另一个你，那种似曾相识的感觉，她没你漂亮，但是感觉不骗人。
那颗星星是Leslie,11月13日 11:20,以后你会遇见更适合的，现在的情愫也许并不是爱情，默默放在心底，把它当成青春留下的秘密吧~
满目星河LN,11月13日 10:30,死了就凉了
周小舟1806,11月13日 10:01,有品位的都抽这烟，真好
白勺宝宝,11月13日 08:32,2018年常听的三首歌《往后余生》《说散就散》已经只能VIP会员可听，就剩下这首歌了，希望这里一直可听。不要让我觉得什么都可变，什么都要谈钱。
这个人不太聪明,11月13日 08:09,我在湖南省祝纳文轩生日快乐
丢了带土的琳,11月13日 07:34,烟要少抽 记得好好生活
君不见汝之,11月13日 06:00,我的爷爷 他很伟大 他是除了爸爸外对我最好的男人 他是顶天立地的男子汉 我很爱他 就是用错了方式 我不懂得表达 表达出的爱会伤害对方 我只知道 我很爱爷爷 而我却没能做到最好 爷爷年龄大了 我不该让他为我分心了 我是个女孩 显得和奶奶格外亲密 经常和奶奶出去 爷爷和自己出去的时间寥寥无几
YyzZzyY,11月13日 02:32,这首歌是和她一起听歌的时候收藏的，歌我还在听，只是他已经没有和我一起听了。
夜里看海_2kzs,11月13日 02:13,脾气会改 你的好我都会记着 多的那就是就此别过
假装有名字2004,11月13日 02:06,"打扰一下呀，我朋友马上要过16岁生日了，我想集齐来自全国各地的祝福。
请你们用这种格式:
“我在XX省祝纳文轩生日快乐!”回复一句祝福语可以嘛?
我想给她做个视频，谢谢大家啦，在她生日那天会发在动态里的！
如果打扰到的话，先说声抱歉啦!
拜托拜托啦，谢谢大家啦!"
箫声断何处莫凭栏751,11月13日 01:14,后来啊 科比去世了 edg也顺利夺冠 鸣人也失去了九喇嘛 复仇者也开启了新冒险 新冠也还没结束 没有什么遗憾的 我们都带着遗憾去向往未来，可未来是否是我们想像中的未来呢？
旦旦914,11月13日 01:10,得之我心，失之我命……
马匹神仙,11月13日 01:01,人真的可以好多年毫无长进。
雨凉年秋,11月12日 16:49,一首歌祭奠我死去的初恋，一个没有责任心，说谎，劈腿的前任。纪念我的付出 信任 忠诚。我是不幸中最幸运的女孩子，不幸于渣男劈腿，幸运于发现的早。
选修浪漫,11月12日 16:39,能够握紧的就别放了
凌晨君1997,11月12日 16:37,岁月神偷，请告诉樱木，我还在等待他出征全国大赛
嘻嘻_LL02,11月12日 16:08,我要怎样表现你才能知道我在想你
双意paxl,11月12日 15:30,一直喜欢
流连虚无,11月12日 15:25,喵喵喵
忍者三娃,11月12日 15:05,2020年的十一月 我在怀念 我在后悔 直到2021年的十一月 我还在怀念 还在后悔
YCJS山,11月12日 14:48,2021.11还有人听吗
Faded0114,11月12日 14:44,唉，不管多少年听着都有感觉
jl南风知我意,11月12日 12:54,202111.12有没有人回来听的
Annncn,11月12日 12:24,课代表在此 表示真的练就了这个能力 就连谁的字什么特色我都知道
青衫不负旧佳人,11月12日 12:21,11月还在
姑奶奶喵kk,11月12日 12:10,谈过两次，无一例外，无疾而终
灰亡谷,11月12日 12:02,11月也有
焦糖小欣0904,11月12日 11:46,十一月还在听
雨天_CVGM,11月12日 11:31,你不是一个人
请叫我独行侠吧,11月12日 11:03,在听
无爱者了,11月12日 10:56,2021年11月冬天了，还有人听这首歌吗？
十六翼流氓大师,11月12日 10:50,没钱，真的不要去谈恋爱，耽误别人，什么也给不了（除非真的是什么也不要的爱情)，努力挣钱吧，永远有20岁的姑娘
光耀十三州府,11月12日 10:43,庆幸，今安在(*^_^*)
阳溪隐白,11月11日 21:04,我希望你也永远开心
海賊王咦-哦雷瓦拿噜,11月11日 21:01,人们永远不可能永生，因为当你自以为永生的时候，那些人和事早已远去
三日月大造,11月11日 20:55,这首歌每次一听，就感觉回到了2016年上大学的时候…
李兴涛烂泥扶不上墙,11月11日 19:23,"?
??
??
? ?我希望正在读这句话的人永远开心?
?
?
?"
时间1202,11月11日 19:16,那年的我才17岁，为了见你一个人坐火车去外省找你，整整坐了16个多小时。那时候在火车上就一直听这歌听了一晚上，现在的我22了，而你已经不在了。再次听到这歌的时候还是会是会想起你
少年于酒,11月11日 18:52,秀儿
用户627306639,11月11日 18:45,你说枯木逢春 我说生不逢时 你说生不逢时 我说时不逢人 你说时不逢人 我说逢人不是你 假如有下辈子 我希望枯木逢春 我逢你
呷呷小林,11月11日 18:45,时间真的猝不及防，外婆已近九十，记忆严重衰退，经常记不清孩子的名字，记不清回家的路，记不清刚吃过什么，上没上个洗手间。等到身边人都渐渐离去时，人生还剩些什么呢。大概只剩下你对别人的爱与好是否能抵过岁月中的琐碎和烦杂，时间真的可以洗涤世界的魑魅魍魉，最后只剩下一些真切。
涵92a,11月11日 18:20,等等，女朋友？
遗憾吗_lgDH,11月11日 18:19,他在吗
Hyhuuuu,11月11日 17:33,真的真的？能不能分享啊？
狂沙曼舞1992,11月11日 17:32,有两种可能性，一种是现在女女，一种是当年男男
于枫与我,11月11日 17:26,真心祝福你
_肥菲,11月11日 17:09,后面的让我猝不及防
玉子太可了,11月11日 16:51,读了一遍，又读了一遍，......
不喜欢吃晚饭,11月11日 16:28,唐，请你看星星吧，虽然只有我能看到了
Top熙,11月11日 14:20,因为这首歌跟我老公相识的，结婚2年多了，每次听到都深有感触
不求不望,11月11日 14:13,你是唯一的柔软的干净的，天空一样的#冷门歌曲探索计划#
王思言i,11月11日 13:46,加油，一定能一站上岸，都是岁月留下的痕迹，此生不悔。
江鱼儿A,11月11日 13:24,大七
船舷,11月10日 20:36,可是我并没有什么特别的是单眼皮不是很瘦皮肤也不好也很自卑接受不了很多人看我的目光理解不了他们在背后议论我也不是特别会说话所以我的青春也一直这么普通平凡也惊艳不了谁
我XIAXIA,11月10日 20:34,有啊
科学的记住我,11月10日 20:11,14年听到现在，喜欢这独特的声音
龙王1hh,11月10日 19:58,11月
怀九京,11月10日 19:51,比起苦和累更害怕时间不够
DdzzzzF,11月10日 19:46,now
在线求一个女富婆,11月10日 19:41,宝，爱你爱你，好好爱自己哦
夕惜兮,11月10日 19:25,11月了还在听
最爱巧克力z,11月10日 19:17,谢谢你，但是开心不是一句话就可以解决的
愤怒的mmy,11月10日 19:11,心里有忘不掉的人就别去打扰别人
最爱巧克力z,11月10日 19:10,还记得在19听这个歌，和她一起听的，听了很多很多遍，但是当时她学习好，我只是一个连一个普通高中都考不上，而她确考上了市里面的重点高中，现在我知道她在哪，和谁，但她不知道我，虽然我现在有女朋友，但是我心里知道，我忘不掉她，我也对不起现在的女朋友，只能在这里说说心里话
木樨_0RHU,11月10日 19:10,有的
玲娜贝儿的贝儿,11月10日 19:08,世界那么大，总会有一个人将你好好收藏，好好爱你～过去就送给岁月叭～未来要开心喔～
l颜枫l,11月10日 18:42,"还有人在听这首歌吗？
2021.11.10"
赊樂,11月10日 18:27,"高一我们是同桌
那天晚上她要转学走了，
最后20分钟她告诉了我
我好多话想说，却又不知道怎么说
我们一人一只耳机听这一首歌到放学
她开始收拾东西，我站在她旁边不知所措
第二天早上我看着这空荡荡的桌子发呆了一天。
我瞬间少了好多东西
从此这首歌也成了她的限定
五年了 ，每次听到就好像回到了那天"
树上有只熊_lJGO,11月10日 18:23,花已经枯了 在给它浇水 都是多余的.
放假的第一天绝对不可以声张,11月10日 18:23,当然有
麻烦有点皮,11月10日 17:39,年轻人别emo了，蹲一个秦皇岛的朋友，男女都行，要去那上班了，一个人太孤独
十之八九i,11月10日 17:06,曾江澳 回来吧
西木子_,11月10日 16:58,我希望在岁月的长河里，你一直在我身边。
新说唱隐藏冠军,11月10日 00:27,部队可以玩手机吗
氵林霖,11月10日 00:26,能够握紧的就别放了
新说唱隐藏冠军,11月10日 00:24,11月
赫之-,11月10日 00:23,暧昧个屁，你上学的时候没几个玩的好兄弟啊！别一看到男生和女生讲话就想那么多！
思凡FREE,11月10日 00:06,
蟹倪1811,11月9日 23:57,希望你也是
xx5567,11月9日 23:54,十一月了
盛夏西瓜冰阔乐,11月9日 23:25,2021年11月9日深夜，你一个不看网易云的人，应该看不到这条消息吧，11月27日那封信是不是觉得很讽刺啊，可是我也很想再牵着你的手，吃着你做的菜，听你唱的歌，跟你在一起很久很久，久到头发斑白啊，但是没有那么久了，我生病了啊，陪不了你那么久了，或许没有理由的离开对你而言，会让你心狠一些吧
静风随心,11月9日 23:24,这首歌是不是受损了
Oceans129,11月9日 23:23,抱一抱
南海闻鲸落-,11月9日 23:13,谁呢
会好吗05,11月9日 23:03,你变了好多好多 你变高了变瘦了变得比以前更帅了 也不爱笑了 可还是有很多人喜欢着你 有一瞬间我都快认不出你了 那你还会记得那个以前喜欢揪我辫子 一起罚站 陪我哭 逗我笑 每天都粘着我的你吗 也还会记得那个一句喜欢都没说出口的我吗
陪楠看花海ba,11月9日 22:52,2021年11月9日 还有53天就2022年了 时间过的真快啊，他也不在了
FFFFZ100,11月9日 22:38,张张，我从不后悔遇见你，但是如果再来一次真的不要遇见了
八刀-尸云,11月9日 22:31,难道说不可以就不喜欢了吗
姑娘我是被吓大的,11月9日 22:29,还有不到三个月就要过年了，请问我能找到我的Mr.right带回家去炫耀一把么？
故里看长安,11月9日 22:07,"打扰一下呀，我对象马上还有不到两个月就过生日了，我想集齐来自全国各地的祝福。
请你们用这种格式:
“我在XX省祝孙媛媛小仙女生日快乐!”回复一句祝福语可以嘛?
我想给她做个视频，谢谢大家啦，如果打扰到的话，先说声抱歉啦!
拜托拜托啦，谢谢大家啦!"
为何为人为她,11月9日 22:02,十一月
自己喜欢的样子,11月9日 22:00,有的，突然想起了球姐，就来了
不是山川呀,11月9日 21:45,有的
巴士集团久事公交,11月9日 16:34,时间是让人租不起房的东西
冬野hu,11月9日 16:01,纵然似梦啊
Vineghh,11月9日 15:11,听到这首歌我就想起17年冬天那一天我走在马路上突然有人从我背后抢走我的手机[多多大哭]
晏如许,11月9日 14:53,真·网抑云
奶味蓝-,11月9日 13:31,不是，以前的封面呢？
平凡的大烟枪,11月9日 13:25,听哭了
公子好忙,11月9日 12:34,11月也在听
小苡_,11月9日 11:30,每每听到以前的歌都会很伤感
冰可叻,11月9日 11:13,我好怀念以前那个封面
15块的牛栏山,11月9日 10:25,考研成功！
小李也很棒_NE4W,11月9日 10:20,当时听这首歌 只是纯碎歌好听 经过拥有而后又失去 现在再听听 又是一种不同的心态
宝藏-,11月9日 09:02,十月初五，生日，祝家人平安，世间美好，祖国早日收复台湾。
F_J_L_W,11月9日 08:44,姑姑大我5岁，姐姐大我6岁。姑姑要结婚了，但姐姐和我都不想长大。
格语爸,11月9日 08:29,是你吗.秀儿!!!!
网络音乐控,11月9日 07:18,没上过大学的我不配听这歌
烟非烟雨亦雨,11月9日 04:23,[多多比耶]
PengWieJia_,11月9日 02:51,都是好的开始
转身闯荡现实-,11月9日 02:49,可真的好想见见，见见那些热烈的青春
风中的一个枫,11月9日 01:30,昨晚喝了点酒，时间有点晚了，刮了很大的风，打车回家，师傅车上就放着这首，那时候车里很安静，窗外的人与物渐行渐远！
-林随意-,11月9日 01:07,高三同班，毕业恋爱，异地分手，四年后回到一个城市重新在一起，三年后吵架分手，两年半后再次在一起了。11年了，整个青春，岁月没有偷走你。今年，我们要结婚了。
怎能如此错过青春,11月8日 15:14,时间是让人猝不及防的东西..
绚学长,11月8日 15:09,"不要错失白天的太阳
又缺席夜晚的星星"
抛开性情,11月8日 14:39,那年我六岁 cf正风靡网络，可在前日看到了edg夺冠的消息，今年我17了，已经坚持这个游戏11年了，希望下个月cfs世界赛也有人支持我们中国队，这个游戏在以前也像英雄联盟一样火过，那不是我的青春是我整个童年
红小豆他爹,11月8日 14:19,认识了32年。相恋了12年后结婚，现在孩子21岁了，可是我们却分开了一年了！并不是爱上了别人！
Silen40,11月8日 14:07,之所以放了，就是因为没有握紧。
小小橘子LN,11月8日 11:21,听了102遍的歌，感觉过了一个世纪
皓凤吖,11月8日 10:17,会的
池边心恋,11月8日 09:27,兄弟，你现在等到了EDG
恏恏公釨臥蘢,11月8日 08:21,应该是你和别人的爱对他如波涛汹涌。
曹某不是曹总,11月8日 04:49,这是卢丽娟最喜欢的歌.
211014S,11月8日 04:14,"把左手 把右手
大拇指 → 往这划 ← 大拇指
放这里 放这里"
小羊就在这里,11月8日 03:37,时间已经证明了我的爱不是一时兴起
喜剧180429,11月8日 01:12,奶奶我好想您啊 您能不能常来我梦里啊。我好想再摸摸您的脸 我好想您啊 求您了 来我梦里
御坂美琴xk,11月8日 01:04,年少不懂曲中意，再听已是曲中人
廖洋熙,11月8日 01:01,我能够控制对你的感情，我们都过好彼此的生活
老王QAQ_,11月8日 00:56,"?
??
??
? ?我希望正在读这句话的人永远开心?
?
?
?"
连倩_,11月8日 00:43,你也要开心，一直开心，永远开心。
帐号已注销,11月8日 00:32,我这般爱闹的性子 终究被打磨成如今寡言寡语的样子 活该
你好msrya,11月8日 00:14,加油
你好msrya,11月8日 00:13,我和甜甜第一次一起听歌，但没有最后一次
喜欢你is,11月7日 16:02,好的坏的都是风景
韵酱926,11月7日 16:01,OK
WHKYZD,11月7日 15:40,前面滴答的声音没有了[多多大哭]
用户3989024321,11月7日 15:32,你很好是他不配，加油陌生人
用户3989024321,11月7日 15:31,伶
他也是过客-_-,11月7日 14:52,好多人替代了好多人 好多人忘记了好多人.
从心便是怂,11月7日 14:21,他是男的，我也是。
彷佛命中注定般,11月7日 14:00,@第二排架子上-
第二排架子上-,11月7日 13:51,@彷佛命中注定般
DU_Su_H,11月7日 13:34,一起开心
韵酱926,11月7日 13:32,今天是立冬了 和任浩杰在一起已经109天了跟他在一起不是太幸福也没有很浪漫没有别人想象中的那么幸福 他也不会在乎我会不会生气 他和女的双排暧昧我都知道 我一直都在欺骗自己 不愿面对 我没能考上理想的高中 去上了卫校 为了见到他每天能看到他 我去了他城市的一所医院实习 以后分开就祝他如愿以偿
申輸,11月7日 13:16,我真的好想她们好想二中
申輸,11月7日 13:16,原来时间过得那么快
申輸,11月7日 13:15,这首歌是我初一元旦汇演是我朋友表演的歌，她们排练的时候我总会去给他们送吃的和奶茶，天天都听。现在我考上了创新实验班，离开了二中，现在听这首歌我只是觉得我很想她们了
原神-魈,11月7日 13:09,所以这几百年都在划水，练了几百年，连个人类幼崽都喷不死??
子仪h,11月7日 12:47,每个女孩子都有自己的美 这不是一句空话 是一句实话 总会有人欣赏你 美的方式很多 不止有莫名其妙的主流审美
hellozgh,11月7日 12:28,回来补考?
lchenre,11月7日 12:24,恭喜
玺玺_jennie,11月7日 11:50,谢谢
狗头_TOke,11月7日 11:40,我怎么感觉跟以前听得不一样了
北钟行烟绫雨尔,11月6日 21:02,但说明他很重视他的对象不是吗
船舷,11月6日 20:33,人不该期盼那么多的
船舷,11月6日 20:33,算了吧 我现在只想上个高中 所以剩下的我也不在乎了
船舷,11月6日 20:32,可是我还是那么简单永远做不到谁的唯一也是那么容易可代替
有梦别贪睡,11月6日 20:28,这两件事没有因果关系
yzyzjzn16,11月6日 20:14,"现在上高中啦
再听到这首歌
满脑子都是我和你没有结局的初中"
简单瞬间你可真不简单,11月6日 20:00,好想回家，回我的大四川，害
山园奶冻卷吖,11月6日 19:47,其实第一次听这首歌是在2017年的血液科，当时正在打化疗，一位高高瘦瘦的姐姐刚刚入院在我旁边的床位上，我记得那天几个实习医生凑在一起说晚期了，可那个姐姐不知道，后来过了一个月这个姐姐就去世了，人世间啊，我只要你平平安安的
陳丢了快樂,11月6日 19:44,谢谢你也是
猪耳朵一号,11月6日 19:43,"为什么我感觉
伴奏不一样了"
DeNG10_,11月6日 19:32,谢谢 你也是.
星夜行船,11月6日 19:21,爷爷身体一定要健健康康的啊，希望我的外公外婆也是
温柔养猫人y1807,11月6日 19:13,[多多难过]
东枫结局,11月6日 19:01,谢谢
洛必达也不可以吗,11月6日 18:54,谢谢
雷狮的裤缝线,11月6日 18:53,淹死概不负责
小酸奶mm,11月6日 18:39,很想念一起的时光 说好的会一直在
无聊_X8TT,11月6日 18:18,秋风起时，少年归来。银河战舰，扬飞起航。 希望看到这条信息的人都能保持初心，一直坚持下去。
残城碎梦Emotional,11月6日 18:15,谢谢。你也要哦！
mfkhimkr,11月6日 18:03,最是人间留不住，朱颜辞镜花辞树。——王国维《蝶恋花》
方糖2109,11月6日 08:44,岁月悠长，希望我们都能守住它。
人畜无害Mr_王,11月6日 07:05,封面换了，爷青结
秃头鹅_解忧树洞,11月6日 06:47,刚开始听这个的时候还什么都不懂，而现在..
Lyh叫我土豆啊,11月6日 06:05,对了，我今年毕业了
把夜熬死i,11月6日 06:02,时间在不断筛选你身边的人和事 不会有人永远陪你 但永远会有人陪你
胖星星呐,11月6日 04:29,这是你曾经听的歌
亦随风qu,11月6日 03:10,想太多
小酒清茶lu,11月6日 01:34,时间在走，年龄在长，懂得的多了，看透的多了，快乐也越来越少了。不得不承认，时间改变了很多人、甚至很多事?
妳的难情,11月6日 01:23,不发消息就是我不在啦
妳的难情,11月6日 01:22,后来才知道，敲不开的门，再敲就不礼貌啦
约在桥头,11月6日 01:19,我喜欢这首歌 我会唱这首歌 好多好多年以前
Rogerost,11月6日 01:00,四年前在小区门口一起等车送我去机场 你坚持要和我去机场我拒绝了。我不想让你一个人送走我从机场回家走那么远的路，我上车以后我回头看见你捂着脸蹲在地上哭 我也任由眼泪狂飙心里咒骂这该死的异地恋，落地沈阳你给我分享了这首歌 说你这辈子再也不想要离开我。可你现在怎么忍心把我推的这么远。
木留青山安,11月6日 00:49,谢谢，你也是
賀柒柒-,11月6日 00:45,埋在心底叭 大家都要向前走。
賀柒柒-,11月6日 00:43,祝有爱者有爱 无爱者自由。
很想王一博a,11月5日 23:34,2021快要结束了 还记得2020跨年那一年 2018年的夏天 一切都不复存在 愿以后的我越来越好 不要再意气用事
很想王一博a,11月5日 23:30,确实好快啊 所有经历都历历在目
小冯冯tel,11月5日 23:21,希望我们都能稳稳握住当下的幸福@steadyflow @巴拉巴拉_PxaJ ，不管是友情，还是爱情我们都要好好的把握住，加油宝子们！
我叫旋儿,11月5日 23:20,情种
babalalahei,11月5日 22:52,以前的版本好听写
彩笔圆周率1412,11月5日 15:53,还是喜欢以前的封面
忘曬,11月5日 15:48,岁月就像一把刀，总能够措不及防的伤害你
醉梦忆流年似水,11月5日 15:32,生日快乐呀
想吃番茄炒饭,11月5日 15:05,生日快乐
飞行--日记,11月5日 14:50,有些音乐，我们听不了，因为可能对我们来说，它不止是音乐，最怕同样的季节遇到同样的音乐，那时候你把MP3的一个耳机偷偷从衣领后穿过，挂在耳朵上望着教室窗外，嘴角上扬，而现在坐在办公室挂着无线蓝牙耳机同样望着窗外，仿佛又看到好久之前窗外的那只蝴蝶，时间真快，让我们措手不及，30岁，你好
重回幼儿园做老大_hhh,11月5日 14:26,元旦晚会准备唱这首歌[多多耍酷]
我想吃胖点QA,11月5日 14:21,青春，28啦，真快啊
知难而易,11月5日 13:40,我也是删了她城市的天气预报
知难而易,11月5日 13:39,今天是我20岁生日，还没有一句祝福，其实也不重要，我只是有点儿想知道她是否还记得，虽然我和她之间已经没有了任何关系，也没有了联系。
不要吵我睡觉呵,11月5日 13:01,真猝不及防
LZY_晛,11月5日 12:44,谢谢你也是
果木园555,11月5日 12:18,a
慎鸸,11月5日 12:16,匆匆那年
速比杜比,11月5日 11:54,啊对对对
Elainefjia,11月5日 11:52,两年后，我们又重逢了，失散与重逢真的是一个圈，原来我们都在进步，兜兜转转我们又回到了原地。放在心里的话，终于说了出来，我们的友情，是按年来计算，还好我们都没有放弃彼此。??
Ge是我yan,11月5日 11:46,我取消了他城市的天气预报[多多大哭]
陌上花已开-CC,11月5日 10:58,请说出你的故事
SunnieYoung2018,11月5日 09:45,希望你妈妈早日康复?在一起的每一天是幸福?
#NAME?,11月5日 09:38,为啥感觉听着伴奏和以前不一样了
MY成都,11月5日 08:44,岁月不是偷走爸妈青春的小偷，我才是
pys呆呆地,11月4日 20:12,男男？？
还在机场等船吗_H,11月4日 19:47,时间偷走了我好多东西 偷走了我的亲人 偷走了我的朋友 偷走了我的爱人.
可乐不能喝可乐呢,11月4日 19:38,一别两宽
酒糖书屋_,11月4日 19:12,可是多坑真的很累 可是我又那么喜欢他们…
Jisoo_iy,11月4日 19:04,为什么追星会这么累啊，我只想开开心心的追星就那么难，同担都能撕起来，他们几个怎么熬的呢，我可能抗压能力太差了，我真的累了，或许我该停下休整一番再考虑要不要上路了
Twilight--king,11月4日 18:56,每次听这首歌，总会想起刚上大学那会。那个人每天给我发消息，我们相互分享自己学校的点点滴滴，他会因为别的男生给我买东西而吃醋，也会跟我好朋友比较谁对我好。后来，就渐渐变了，他不再找我了。他说，我是他第一个喜欢的人，但是在我这里得不到任何回应。其实，他只是没有感受到我汹涌的爱意罢了。
鸡儿割,11月4日 17:59,听君一席话如听一席话
今朝夜闻笛赋focus,11月4日 17:26,树欲静而风不止 子欲养而亲不待，加油吧
神明de约束,11月4日 17:17,你也要开心鸭
木白三每文,11月4日 17:11,666
爱玩游戏的大哥,11月4日 16:45,谢谢，你也是
本尊于晏,11月4日 15:31,我们都会的
晨曦微梦Cathy,11月4日 15:01,坚持下去就好了
晨曦微梦Cathy,11月4日 15:00,六级加油啊
-smallnew-,11月4日 12:21,网抑云，果然一翻评论全是致郁系，哈哈
Fu_Xinjie,11月4日 11:43,我不后悔遇见你，就是遗憾没有陪你到最后。
乄浮华之世乄,11月4日 10:21,小时候总幻想长大 长大后却回想曾经，小时想的是未来烟火，世界繁华，长大想的是曾经岁月，遗憾错过 愿我们
FEIi_______,11月4日 09:38,真的太累了，累到情绪不好了，不知道现在的一切都有意义么
你就是最好_,11月4日 09:20,时间过的好快啊，仿佛昨天还在初中时候，身边朋友都结婚有孩子了，而我还在打瞌睡一样迷茫不知道干嘛
如果麦孑熟了,11月4日 08:12,有些人其实你已经见过最后一面了
第三世界居民,11月3日 09:08,你多少有点毛病
云中-5th,11月3日 09:06,前女友最喜欢的歌之一。七年前分手那个夜晚，我左边耳机里就是这首歌听了整整一宿，右边耳机里是她和那个男人宾馆里录音。前天听到消息，她因为买了一条500块的裙子被老公打了之后喝药自杀了，我现在月薪三万还保留她的照片再没交过女朋友。明年我会买十条同款裙子，在她墓碑前烧掉。
古德熊宁,11月3日 08:40,那就取决于你还想不想保持你的素质。保持好心情?
Archer_SISU,11月3日 08:22,时间真是个让人措不及防的东西
Archer_SISU,11月3日 08:22,还记得第一次听这首歌我还在上初一。。 再过一年就要参加高考了 到时候 不再被 未成年人保护法 保护了。
迪丽热巴的小跟班,11月3日 08:03,欸咦，遇到毫无素质可言的同事，该怎么办？求大佬支招……
努力的时光_,11月3日 07:40,永远真诚 永远简单 日子和我都会发光
那个上尉和阿申巴赫是一伙的,11月3日 06:01,突然想起一个女生，2017原来过了这么久了啊
裂开的豌豆,11月3日 05:55,我微信3133
小l爽子,11月3日 04:35,见过花开就好了 何必在意花落谁家 又何必在意花为谁开 至少有一刻你是闻到花香 体验到了这一刻的浪漫.
#NAME?,11月3日 04:33,还记得第一次听这首歌是老师给我们唱的，当时闹着问同学歌名，如今已经初中没毕业就踏入社会两年多了
诺诺_PDlj,11月3日 01:27,太难了
笙歌嘹亮随风去,11月3日 00:55,最爱我的爷爷走了，我因为疫情防疫不能回家。我多恨当时填志愿时的自己啊。
今朝残月明夜艳阳,11月3日 00:27,我们都没谈过，初中一起同桌2年高中同校不同班又快三年一直不敢对她说。快要毕业了怕影响她学习状态，回来听别人说她也一直在等我。我觉得我好傻，后悔没有早点告诉她，不过应该还来得及。
月吉蠢鹿,11月3日 00:24,OK
ideaMQ,11月3日 00:18,真的 深夜翻评论真的太真的了真的真的真的真的真的真的
甜啊甜c,11月2日 23:57,有
亂開杺哦,11月2日 23:54,[多多难过]
章鱼哥錒,11月2日 23:45,2021年11月了还有人听这首歌嘛
风绪vor,11月2日 23:42,小孩不懂事，小孩的爱很廉价，所以小孩天天哭
伪度-,11月2日 00:17,这首歌是不是重录过呀 感觉和以前听伴奏不一样了
咔咔发2333,11月1日 23:55,都说高三很苦，却在那年岁与你们一同书写青春，我觉得很美·。
维多利亚诗人,11月1日 23:14,嗯
marrybrother,11月1日 22:58,一年毕业的，同学你还好吗？
#NAME?,11月1日 22:34,她是我小学同学，是我的上桌，我老拔她头发，导致现在发量有些少
绝怼不挂科,11月1日 21:43,加油！
小陈很大力,11月1日 21:41,我不再是那个我，而你也已经不是那个你了，在你心里我不再是那个小孩子了。我会成长，会好好生活。
冷月岱,11月1日 21:30,为什么是阴有时雨，不应该是阴时有雨吗
在听音乐的爸爸,11月1日 21:29,今年大三 今天听讲座的时候突然想听这首歌 不是emo 就挺好的 其实这首歌挺温暖的
李大宝--_,11月1日 20:58,哈哈……哈哈……长久的爱情是个奢侈品啊，比任何都奢侈！
TheSuperHeroZhang,11月1日 20:37,他很爱你好好珍惜啊
没什么了l,11月1日 20:37,不知不觉大一已经过去一年了 现在也是大二了 时间过得真的很快 不知不觉已经这么长时间了 经历了很多事情 也认识了很多人 怎么说也是个完美的大学生活 明年四月份就去实习了 哦对了 学的护理专业 还记得从初中到现在么 一转眼都要实习了 加油吧 陌生人们也加油吧
fourteen涵,11月1日 20:13,生日快乐
欣訫訫儿,11月1日 20:12,想说头像很眼熟，很像已经毕业的学长
妳的难情,11月1日 19:35,时间在走，岁月在变，我们还保持着当年的初心
妳的难情,11月1日 19:34,生日快乐呀
憨小陈_,11月1日 18:45,加油?宝
重力势能,11月1日 18:14,今天刚吃诶嘿嘿
木石zzZ,11月1日 18:08,今天生日来打个卡，好的坏的都是风景
起名字的文采,11月1日 18:05,"“吃冰糖葫芦吗？”
“吃。”
“那我去买。”
“好。”"
李小亚11,11月1日 00:29,这像是讲的职场
浅海未蓝,11月1日 00:11,"岁月是一场有去无回的旅行，好的坏的都是风景，hzm,感谢我的青春有你陪伴，真希望一路有你。"
冬风烈_,10月31日 23:58,别让爱你的人失望
