用户名称,评论时间,评论内容
好想再多一次,昨天18:59,后来上了大学，在大学里，也在想她，仔细想想之前，确实是我的原因让她无法忍受，假如我能不那么内向，会不会结果就不同。虽然后来，我在朋友面前说过她的不好，但只有我自己知道我从来没怪过她，因为她的出现，那个本该炎日，抑郁，难过的夏天变的美好，没有陪她度过十八岁的生日是我一辈子的遗憾。
好想再多一次,昨天18:54,因为我高考考很差，她也一直在安慰我，也不断的跟我憧憬着大学生活，在后来，我们度过了那个炎热且漫长的假期，在她快要开学的时候，她跟我提出了分手，猝不及防，无论我怎么挽留都没有用，她这种方式的分手，无疑会引起我的多想，但是又仔细一想，她怎么可能是一时兴起
好想再多一次,昨天18:48,高考结束后的第二天，她给我打来了电话，她跟我说着说着便哭了起来，但我鼓起所有的勇气，还是不敢说喜欢她，到了晚上十一点多的时候，她发了个消极的说说，我再也忍不住了，我心里骂着自己，你怎么忍心这样对待她。我对她说出了那四个字，第二天我们确定了关系。
好想再多一次,昨天18:44,我午睡睡的很晚，就看着她，心理想着，我一定不会辜负你，在等两个月，等高考结束，我一定要跟你在一起。很快到高考前一天了，开始收拾教室了，她让我帮她搬东西，她端这一个一个小箱子，跟在我后面。办搬完之后，她给了我一张纸条，我立马去了厕所，打开那张纸条，是她对我的祝福。
好想再多一次,昨天18:39,后来，我出校随便买了一个礼物托人送给了她，朋友说她笑的挺开心，我也就放心了，从寒假到五一因为疫情，都是在家里上网课，期间她总是问我题目，我也是跟她打了QQ语音跟她讲题，也不知道她是真听懂，还是假听懂，每次讲完都会聊会儿，后来到了学校，一个教室30个，我们坐的很近。
好想再多一次,昨天18:34,但我就是这样的一个人，平时就算下了再大的决心，一见到她，全都烟消云散了。她没有怪我，一如既往的关注我，我被老师点名的时候她会幸灾乐祸，被老师批评的时候，她会安慰我。他生日前一周跟我说，能不能陪她过18岁生日（生日是周六，周六下午放假）。我不知所措也是因为家隔太远拒绝了她。
cico_6N,11月28日 22:23,6年级毕业时唱的怎么过的那么快一下就初三了
好喜欢藍色i,11月28日 22:14,今天钟鑫瑞又让我哭了
用户_6324326607,11月28日 22:09,好好听(? ??_??)?
万物仍不及你,11月28日 21:57,唐朝的离婚仅存于同为名门望族
万物仍不及你,11月28日 21:55,唐朝可和现在不一样，只有男女同为名门望族才有可能是离婚，唐朝的男人把女人休了只是一句话的事，也就是所谓的一纸休书，而且女的什么都拿不走，给女的东西的也算是有良心了
姜靈犀,11月28日 21:24,“農濃農彌爾繹撥臥藉癮鉤徵我錄識釋爱獅幫 你嶺額劇錄聞寧機興櫃體总有你认识的三个字.”
哥百眸予,11月28日 21:04,真的最近我也是经常发生 要不就是“放心我看不上你”在这之前我并没有说他是否对我有好感或我喜欢他相关的话题就很难受，还有就是“你怎么变得这么丑”顿时不想说话，，。。
QS陌月_烟云,11月28日 21:03,有些事你不要非一定知道，因为知道了会后悔.会伤心.会emo。
乖囡_aW4R,11月28日 21:03,没事了一切都过去了，接下来只要过好自己的生活就好这也是他想看到的，给不了你一辈子的但还可以看你辛福一辈子！
余溫_bOPX,11月28日 21:00,我说的旋律
lois小姐,11月28日 20:59,特别希望我已长大，爸妈还没有老去
余溫_bOPX,11月28日 20:52,这首歌与薛之谦的，等我回家好像
我就山海,11月28日 20:39,一眨眼遇见你已经两年半了，今天所发生的是曾经那个躲在角落里的我所完全不敢想的，我是真的真的很开心，也希望你可以天天开心[多多大笑]
无畏梦象,11月28日 19:46,再见一面吧
s入戏s太深s,11月28日 19:18,突然的哭，我不知道这种感觉是怎么样的，但是时间既然没办法扭转，就好好珍惜在身边的每一个人吧
s入戏s太深s,11月28日 19:17,突然间的泪流满命，时间，会将一个人在世上的证明慢慢抹去，唯一值得回味的就是在脑海里，过去的点点滴滴，它真特么的是让人猝不及防，我不知道我以后老了，会不会害怕，害怕老了成为儿女的负担，我爷爷当时生病的时候，没有办法上厕所，我爸就用自己的手给他抠出来，有时我爷爷也会突然的清醒，突然的
s入戏s太深s,11月28日 19:13,有一天我回老家的时候，就是突然的不习惯，我爷爷一般会在二楼看电视，然后我和我小妹会习惯性的往沙发上一躺，但是呢我那次回来，空落落的，很不舒服，原来我爷爷已经走了。我看过这样一句话，当你失去一个很重要的人的时候，你并不会忽然的难过，只不过在以后的某个日子里经过一个角落，突然间的泪流
s入戏s太深s,11月28日 19:06,我爷爷在我高二的时候去世的，那天我就想往常一样回家，当时我们是22:20放学，我回家的时候，我舅奶和我大姨在我家楼下等着，我还在很高兴的跟他们打个招呼，问他们待在我家楼下干嘛的。他们忽然的一开口就说我爷爷走了，我当时还没有反应过来，就稀里糊涂的跟着我舅奶去了她家，在我舅奶家睡觉的时候
晚安_695,11月28日 18:53,我想你了啊
久爱久伴久思久念,11月28日 18:44,一定一定要追回田雨
ZzZzZzZzZzZzZzWwV,11月28日 10:17,保持午睡是个好习惯
summer_EA0l,11月28日 10:12,第一次送你花打卡
苍-岚,11月28日 10:06,我也是呢，别在意别人的眼光，做自己
耳机分你一半__LY,11月28日 09:50,你
劝生者,11月28日 09:49,提笔是你，发呆想你，目光随你，心情伴你
老实人不在了,11月28日 09:43,谢谢您的教诲
劝生者,11月28日 09:41,男男
沈玉o,11月28日 09:38,我也是
DSG-y,11月28日 09:35,""" 如果忘不掉 那就永远记住 """
阿美阿姐,11月28日 06:53,如此跨时代缅怀青春的歌，取了一个小气的名字，不过也是另类。
云村陈泽,11月28日 02:30,遗憾连张合影都没有我不知道拿什么想你，我已经快忘记了你的模样我不想忘记我也不知道如何去联系你，好后悔当初没有珍惜
忆千魂丶,11月28日 02:06,唉，你为啥也叹气
Giannaw,11月28日 01:59,唉
為誰水漫金山_-,11月28日 01:42,思绪万千
五毛钱买的名字z,11月28日 01:14,生活里有好多人会离去，除了珍惜眼前人还有勇敢的去面对别人的离去，虽是常态但是我们也无能为力不是吗，时间过的很快一转眼我也大三了，老友的离开就像朱自清写的悄悄的我去了正如我悄悄的来，大一的时候跟高中同学被分散到五湖四海能聊几句的时候也只有游戏里
五毛钱买的名字z,11月28日 01:07,记不起上一次听这首歌是什么时候了，时间就像水慢慢洗掉你的回忆，哪怕几年前的故事现在能想起的也只有气味了
#NAME?,11月28日 01:02,好多无奈
serendipity_y0409,11月28日 00:53,emmm以前我只是觉得这首歌很好听。。
昵称真够难起的,11月28日 00:21,想念我的小县城 想念高中的同学们和我们起外号的老师
乘风归雪,11月27日 23:55,我曾有过各种各样的外号，他们围绕我的外貌给我下定义，他们只是没礼貌，却弄脏了我的青春
落黎在线自卑,11月27日 19:33,5年后让那些曾经看不起我的人重新认识我，今年18岁00后汽修工！
鬼精灵_LikX,11月27日 19:31,加油 等你好消息
鬼精灵_LikX,11月27日 19:31,相逢还是会心动。这次要不要说出口。
Yi哥哥仔,11月27日 19:12,从陌生到陌生
蓝鲸与鹿1805,11月27日 19:08,今年她八十八岁了，没等到我结婚生子，她也永远八十八岁了
阿-黛_Y6TX,11月27日 18:24,我外公外婆也有，但外婆终是没有等到
爷对xz一生黑,11月27日 18:16,醒醒，你就是被白嫖了
沫棠,11月27日 17:43,还有13个小时就要考试了，希望我可以上岸。
X要喝奶盖嘛,11月27日 17:40,加油啊
悲风吟,11月27日 16:56,钓鱼?真没意思
今日不南冠,11月27日 16:40,难受
Strive-mxl,11月27日 16:33,也许 在那张毕业照后我们就在人海茫茫中分道扬镳了
明天的清风后天的夕阳,11月27日 16:13,久久
